Module,Interface,LDP table name,Schema URL,Example URL,Dev API URL
mod-inventory-storage,/item-storage/items,inventory_items,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/item.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/items_get.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/item-storage.html
mod-inventory-storage,/location-units/libraries,inventory_libraries,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/loclib.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/loclibs.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/locationunit.html
mod-inventory-storage,/loan-types,inventory_loan_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/loantype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/loantypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/loan-type.html
mod-inventory-storage,/locations,inventory_locations,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/location.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/locations.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/location.html
mod-inventory-storage,/material-types,inventory_material_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/materialtype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/materialtypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/material-type.html
mod-inventory-storage,/modes-of-issuance,inventory_modes_of_issuance,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/modeofissuance.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/modeofissuance.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/mode-of-issuance.html
mod-inventory-storage,/nature-of-content-terms,inventory_nature_of_content_terms,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/natureofcontentterm.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/natureofcontentterms.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/nature-of-content-term.html
mod-inventory-storage,/service-points,inventory_service_points,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/servicepoint.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/servicepoints.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/service-point.html
mod-inventory-storage,/service-points-users,inventory_service_points_users,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/servicepointsuser.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/servicepointsusers.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/service-points-user.html
mod-inventory-storage,/statistical-code-types,inventory_statistical_code_types,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/statisticalcodetype.json,https://raw.githubusercontent.com/folio-org/mod-inventory-storage/master/ramls/examples/statisticalcodetypes.json,https://s3.amazonaws.com/foliodocs/api/mod-inventory-storage/p/statistical-code-type.html
